1.0,rn1qk2r/pbp1bppp/1p2pn2/3p2B1/2PP4/P1N2N2/1P2PPPP/R2QKB1R w KQkq - 2 7
1.0,rn1qk2r/pbp1bppp/1p2pn2/3p2B1/Q1PP4/P1N2N2/1P2PPPP/R3KB1R b KQkq - 3 7
1.0,rn1q1rk1/1b3ppp/p4b2/1p1pN3/Q1pP4/P1N3P1/1P2PPBP/3R1RK1 w - - 0 15
1.0,3r2k1/2q2ppp/p7/1p2P3/5P2/P1n1Q1P1/6BP/4R1K1 b - - 3 29
1.0,2q1r2k/4P3/7p/6p1/1Q2B3/1p4P1/4n1KP/5R2 w - - 0 44
1.0,2q1r2k/4P3/3Q3p/6p1/4B3/1p4P1/4n1KP/5R2 b - - 1 44
0.0,r1bqkb1r/pp1n1ppp/2p1pn2/8/2pP4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 0 7
0.0,r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R b KQkq - 0 7
0.0,r2qk2r/pb1nbppp/2p1pn2/1p6/3PP3/2N2N2/PP2BPPP/R1BQ1RK1 b kq - 0 10
1.0,r1bqk2r/pp1nbppp/2pp1n2/4p3/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 2 7
1.0,r1bqk2r/pp1nbppp/2pp1n2/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 3 7
1.0,r3rbk1/1bqn1ppp/1ppp1n2/p3p3/2PPP3/2N1BNPP/PP3PB1/1QRR2K1 w - - 0 15
1.0,bq1r1rk1/6bp/1p1N1nP1/1N1Pp3/1P6/4B1PP/5P2/1QRR2K1 b - - 0 29
1.0,3n3k/1b1P4/8/4p3/1P6/6PP/5P2/2R3K1 b - - 2 43
1.0,r2qkb1r/pp2pppp/n1p2n2/8/P1pPP1b1/2N2N2/1P3PPP/R1BQKB1R w KQkq - 1 7
1.0,r2qkb1r/pp2pppp/n1p2n2/8/P1BPP1b1/2N2N2/1P3PPP/R1BQK2R b KQkq - 0 7
1.0,r4rk1/pp1qbppp/2p1p1b1/8/PnBPP1P1/2N1BP2/1P1Q3P/R4RK1 w - - 1 15
1.0,2qr2b1/pp2Q1p1/2p1p1kp/5r2/PnBP4/2N1B3/1P1R3P/5R1K b - - 0 26
-1.0,rn1qkb1r/1p2pppp/p1p2n2/2PpNb2/3P4/2N5/PP2PPPP/R1BQKB1R w KQkq - 3 7
-1.0,rn1qkb1r/1p2pppp/p1p2n2/2PpNb2/3P1B2/2N5/PP2PPPP/R2QKB1R b KQkq - 4 7
-1.0,r2q1rk1/1p1nbppp/p1p5/2Pp4/1P1P4/2NQ2B1/P4PPP/R3K2R w KQ - 1 15
-1.0,5rk1/1R3pp1/2pBn3/3p3Q/7P/8/1q2NKP1/8 b - - 0 29
-1.0,6k1/5pp1/2p1n3/3pQ3/6PP/7K/4q3/8 w - - 0 35
-1.0,rn1qk1nr/pp2ppbp/6p1/3pP3/3P2b1/5N2/PP3PPP/RNBQKB1R w KQkq - 1 7
-1.0,rn1qk1nr/pp2ppbp/6p1/3pP3/3P2b1/1Q3N2/PP3PPP/RNB1KB1R b KQkq - 2 7
